category;title;tags;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
Arts;Black Hollywood: 'They've Gotta Have Us' - Series 1: 3. Black is the New Hollywood;BBC, iPlayer, TV, Black Hollywood: Theyve Gotta Have Us, Series 1: 3. Black is the New Hollywood;In the post Black Panther era, black filmmakers are no longer seen as non-bankable.;https://ichef.bbci.co.uk/images/ic/1200x675/p06pqm08.jpg;59 mins;3517;9pm 27 Oct 2018;In the post Black Panther era, black filmmakers are no longer seen as non-bankable.;Documentary looking at how black movies are no longer seen as a genre and black filmmakers are no longer seen as non-bankable.;This episode picks up the story in the post Black Panther era, where black movies are no longer seen as a genre and black filmmakers are no longer seen as non-bankable. In an era where Moonlight won Best Picture and the director of Get Out won Best Original Screenplay, the number of award winners and nominees is steadily growing. But amongst these winners there is a generation of British stars following in the footsteps of Steve McQueen, director of 12 Years a Slave, who have left Britain. Theirs is a generation led by the likes of David Oyelowo and John Boyega growing in influence and leading the invasion of bankable black British stars to Hollywood.
Arts;The Devil's Music - Series 2: Episode 2;BBC, iPlayer, TV, The Devils Music, Series 2: Episode 2;Alexis Korner delves further into the soulful world of traditional Blues music. (1979);https://ichef.bbci.co.uk/images/ic/1200x675/p01m7nqf.jpg;24 mins;1461;16 Jul 1979;Alexis Korner delves further into the soulful world of traditional Blues music. (1979);First transmitted in 1979. Blues music was often sung by travelling singers on the American music circuit. Performers such as Laura Dukes captivated on-the-road audiences.;First transmitted in 1979. Blues music was also often sung by travelling singers on the American music circuit. Performers such as Laura Dukes captivated on-the-road audiences, and similar Blues performers were also frequently featured in travelling minstrel shows. Alexis Korner continues in his exploration into the soulful world of American Blues music, discovering that Blues songs were often based on the singers' home town.
Arts;Truman and Tennessee: An Intimate Conversation;BBC, iPlayer, TV, Truman and Tennessee: An Intimate Conversation;Docudrama that creates a fascinating comparison of two iconic 20th-century writers.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b0y66h.jpg;80 mins;4803;9pm 7 Nov 2021;Docudrama that creates a fascinating comparison of two iconic 20th-century writers.;Docudrama that builds a fascinating picture of writers Truman Capote and Tennessee Williams – their friendship, their rivalry and the very different ways in which they handled their success.;Truman Capote and Tennessee Williams – writers, celebrities and, many would say, geniuses – were catapulted to fame in the 1950s, sparking a friendship and rivalry that spanned nearly 40 years. Inextricably entwined and icons of their age, they were both creative powerhouses and gay men, who dealt with success and its evanescence in vastly different ways.Film-maker Lisa Immordino Vreeland brings these two forces together in a unique and fascinating head-to-head, comparing and contrasting their trajectories through duelling voices – the writers’ own, culled from archival footage, and those of actors Jim Parsons and Zachary Quinto, who portray Capote and Williams at various stages of their lives. Both writers constructed rich, imaginary worlds and characters - Blanche DuBois and Holly Golightly to mention just two - which left indelible marks on the era. Both men also paid the price of colossal success and fame, suffering alcoholism and periods of artistic stagnation.
Arts;Taste - Getting to the Point;BBC, iPlayer, TV, Taste, Getting to the Point;First of a four-part series looking at the history of interior design in Britain.;https://ichef.bbci.co.uk/images/ic/1200x675/p07l7cvf.jpg;49 mins;2912;8:25pm 5 Jan 2002;First of a four-part series looking at the history of interior design in Britain.;Laurence Llewelyn-Bowen looks back to medieval England to discover the source of the Arts and Crafts movement and the designs of William Morris.;First of a four-part series in which Laurence Llewellyn-Bowen looks at the history of interior design in Britain.Laurence Llewelyn-Bowen looks back to medieval England to discover the source of the Arts and Crafts movement and the designs of William Morris. Moving on to Doncaster, South Yorkshire, he discovers an extraordinary home carved out of a church, and visits a fantasy Gothic village in London's Highgate.
Arts;This Cultural Life - Series 1: 5. Carlos Acosta;BBC, iPlayer, TV, This Cultural Life, Series 1: 5. Carlos Acosta;Cuban ballet star Carlos Acosta talks about the key moments in his cultural life.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bhq614.jpg;29 mins;1740;7:30pm 23 Jan 2022;Cuban ballet star Carlos Acosta talks about the key moments in his cultural life.;Cuban ballet star Carlos Acosta talks to John Wilson about the key moments in his cultural life, from breakdancing in Havana to becoming principal dancer of the Royal Ballet.;Cuban ballet star Carlos Acosta talks to John Wilson about some of the key moments of his cultural life.He discusses the influence of his father, his early love of breakdancing on the streets of Havana and the devastating effects on life in Cuba of the collapse of communist regimes around the world. He also recalls his breakthrough moment – winning the prestigious Prix de Lausanne ballet competition at the age of 16 – and becoming the first Black principal dancer of the Royal Ballet in London.This Cultural Life is a BBC Radio 4 podcast.
Arts;Dance: BBC Introducing Arts;BBC, iPlayer, TV, Dance: BBC Introducing Arts;Brenda Emmanus presents short films that combine powerful storytelling with dance.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bncgl5.jpg;59 mins;3539;10pm 20 Feb 2022;Brenda Emmanus presents short films that combine powerful storytelling with dance.;Brenda Emmanus presents short films from emerging artists that combine powerful storytelling with the impact of dance, using movement to explore our place in today’s world.;Brenda Emmanus presents an innovative collection of dramatic short films from emerging artists. Compelling stories of identity and isolation, trauma and power combine with the visceral impact of dance to explore our place in today’s world in a thought-provoking and heartfelt way.
Arts;Arena - Cindy Sherman #untitled;BBC, iPlayer, TV, Arena, Cindy Sherman #untitled;A rare insight into the world and work of artist Cindy Sherman.;https://ichef.bbci.co.uk/images/ic/1200x675/p07hm1x1.jpg;59 mins;3565;28 Jul 2019;A rare insight into the world and work of artist Cindy Sherman.;A rare insight into the work of Cindy Sherman, one of the world's leading, and most elusive, contemporary artists.;Cindy Sherman is one of the world’s leading contemporary artists. She is also notoriously elusive. So, it is a coup for Arena to get this in-depth and revealing audio interview with her. An exuberant weave of art and archive gives us a rare insight into one of the most influential artists alive today.
Arts;Inside Cinema - Shorts: 91. Marilyn Monroe;BBC, iPlayer, TV, Inside Cinema, Shorts: 91. Marilyn Monroe;Celebrating the multi-talented and multi-faceted icon of the Golden Age of Hollywood.;https://ichef.bbci.co.uk/images/ic/1200x675/p0brzs7d.jpg;6 mins;344;2 Mar 2022;Celebrating the multi-talented and multi-faceted icon of the Golden Age of Hollywood.;Lucy Bolton celebrates the multi-talented and multi-faceted Hollywood icon, who captivated the world in films ranging from Gentlemen Prefer Blondes to Some Like It Hot.;Marilyn Monroe endures as one of the legendary icons of the Golden Age of Hollywood, and is often remembered as the blonde bombshell with the tragic personal life cut short at the age of 36.For Inside Cinema, Lucy Bolton celebrates Marilyn as a multi-talented and multi-faceted performer, with a body of work that encompassed all genres and consisted of more than 30 films, ranging from Gentlemen Prefer Blondes, Some Like it Hot and The Seven Year Itch, to Niagara, The Misfits and How to Marry a Millionaire.
Arts;Monitor - A Poet in London;BBC, iPlayer, TV, Monitor, A Poet in London;John Betjeman is filmed at different London locations reciting his poems. (1959);https://ichef.bbci.co.uk/images/ic/1200x675/p025jnz4.jpg;12 mins;728;1 Mar 1959;John Betjeman is filmed at different London locations reciting his poems. (1959);First transmitted in 1959, John Betjeman is filmed at different London locations introducing and reciting four of his poems.;First transmitted in 1959, John Betjeman is filmed  at different London locations introducing and reciting four of his poems.The film was Ken Russell's first for television and was  commissioned by Huw Wheldon, the head of the BBC's Monitor arts programme. Betjeman is shown visiting locations including Vauxhall Park, Aldersgate Street station (now the Barbican), Camden Town and Hatfield. He recites his poems 'Monody on the Death of Aldersgate Street Station', 'Business Girls', 'The Olympic Girl' and 'Hertfordshire'.
Arts;Arena - Painted with My Hair;BBC, iPlayer, TV, Arena, Painted with My Hair;How a remarkable US lifer survived years in solitary by turning M&Ms into art.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b0vlrh.jpg;74 mins;4460;11pm 31 Oct 2021;How a remarkable US lifer survived years in solitary by turning M&M's into art.;How a US lifer survived long-term solitary confinement through a remarkable pen-pal friendship and the making of beautiful little paintings from M&M's.;Painted with My Hair is inspired by the paintings, poetry and letters of Donny Johnson, an exceptionally intelligent and talented US lifer, who has been locked away inside his country’s notoriously punitive prison system since the age of 18. At 58, Donny was released from solitary and had his first parole board hearing in April 2018. But for 24 years of his prison life, he was ‘buried alive’ in an 11-by-seven-foot concrete cell inside the Super Max Security Housing Unit of Pelican Bay State Prison, where creativity and the making of art were crucial to Donny’s survival. Together with thousands of other long-time solitary confined prisoners, Donny was denied all physical contact with other human beings, and subjected to sensory and social deprivation. He was permitted to speak to visitors only via a phone through bullet-proof glass. Nevertheless, in 2002, against all the odds and through an initial ‘prisoners pen-pal’ contact and subsequent weekly correspondence with a New York writer and psychoanalyst, Stephen Kurtz, Donny began an intense and mutually transforming friendship. This relationship, expressed through over 500 letters, lies at the heart of this film. And while Donny revealed himself to be a fluent and incisive writer, even more remarkably, with encouragement from Steve, he became a dedicated artist – despite being refused access to conventional painting materials and forced to make brushes from his own hair, and to synthesise his pigments from the coloured sugar coatings of M&M’s and Skittles. As Donny himself cannot be interviewed, his life and emotionally charged journey of self-discovery are presented in the film via quotations from his many letters, read by the award-winning American actor Stanley Tucci. Donny’s ‘voice’ thus becomes the driving force of the documentary, articulating its main themes and topics, from his childhood to the present. Interwoven with Donny’s own words are vivid and articulate contributions from people involved in his life, among them his mother Helen Grimes, his now close friend Steve Kurtz, and his San Francisco-based prisoners' rights lawyer Charles Carbone. A further emotional level is added through music, in the form of specially recorded jazz/rock improvisations for electric guitar and a few songs that have particular significance for Donny.Donny’s life is an example of one man’s resilience and personal transformation, achieved in defiance of a prison system that locks up more of its citizens – mostly the poor – than any other country. And this unusual and provocative film celebrates creativity and friendship as the essential routes to self-realisation for prisoners whose humanity is systematically denied. Whether ‘indefinite confinement’ continues to be Donny’s fate was determined by a parole board hearing held in California’s High Desert State Prison on 19 April 2018. Despite evidence of Donny’s rehabilitation while in prison, his parole was not granted, with even a second hearing denied for a further five years. While the hearing could not be filmed, the tension leading up to the board’s decision, and its momentous emotional repercussions for Donny, his family and everyone else in his life, constitute the moving last sequence of the film.
Arts;Julian Bream Masterclass - 5. Julian Bream Festival;BBC, iPlayer, TV, Julian Bream Masterclass, 5. Julian Bream Festival;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);https://ichef.bbci.co.uk/images/ic/1200x675/p01lb5zk.jpg;50 mins;2993;1 Feb 1978;A recital of guitar music by Julian Bream at Old Wardour Castle. (1978);First transmitted in 1978, Julian Bream performs works by Bach, Villa-Lobos, Albeniz and Britten at Old Wardour Castle.;First transmitted in 1978, Julian Bream performs works by Bach (Prelude, Fugue and Allegro), Villa-Lobos (Preludes Nos 3, 1 and 2) and Albeniz (‘Granada', 'Cadiz' and 'Sevilla' from Suite Espagnol) at Old Wardour Castle. Bream concludes the recital with Nocturnal after John Dowland. Based on ‘Come Heavy Sleep’ by John Dowland, it was written for Julian Bream by long-time collaborator Benjamin Britten in 1963.
Arts;Culture in Quarantine - Louder Is Not Always Clearer;BBC, iPlayer, TV, Culture in Quarantine, Louder Is Not Always Clearer;Jonny is Deaf - his superpower is lip reading. That doesn’t mean everything makes sense.;https://ichef.bbci.co.uk/images/ic/1200x675/p09sdftp.jpg;17 mins;995;2 Sep 2021;Jonny is Deaf - his superpower is lip reading. That doesn’t mean everything makes sense.;Jonny is Deaf - his superpower is lip reading. But that doesn’t mean everything makes sense.;A dinner party is a chance to unwind and relax for most, but for Jonny, who is Deaf, it’s a constant struggle to keep up with his friends and their ever-changing conversations. Disinterested and tired of misunderstandings, Jonny leaves a dinner party to take the viewer on an audio-visual, time-traveling adventure, offering up moments from his life where his deafness has landed him in sticky situations.Louder Is Not Always Clearer tells Jonny’s story of disconnection, difference, and desperation to belong. It is an honest portrayal of a man perceived to be full of confidence and who is outwardly social, but inwardly vulnerable and at times isolated.For hearing viewers, it is an illuminating and emotional experience. For deaf viewers, the film is a familiar tale of misunderstanding and isolation. For all viewers, it is a humorous and moving story of one man’s attempt to cope, to fit in, and be accepted.It is adapted from the critically acclaimed theatre production of the same name.
Arts;Loop - Shorts: 18. The Art of Blacksmithing;BBC, iPlayer, TV, Loop, Shorts: 18. The Art of Blacksmithing;Artist Agnes Jones shares her passion for sculpting steel.;https://ichef.bbci.co.uk/images/ic/1200x675/p09hm1l2.jpg;7 mins;404;18 May 2021;Artist Agnes Jones shares her passion for sculpting steel.;Agnes Jones is a Glasgow based blacksmith artist with a passion for creating sculptures from steel and is committed to changing perceptions and gender stereotypes around the art form.;Agnes Jones has been working as an artist blacksmith for over ten years. Making sculptural pieces using traditional blacksmithing methods, Agnes found her niche after learning from her mentor John Creed and combining these skills with her love of life drawing to create life size 3D pieces of art.  Having established her style and reputation as a successful artist blacksmith, Agnes continues to challenge traditional gender stereotypes typically associated with the medium.
Arts;Loop - Edinburgh Special;BBC, iPlayer, TV, Loop, Edinburgh Special;An Edinburgh Special featuring drag queens, sex education, flamenco and football.;https://ichef.bbci.co.uk/images/ic/1200x675/p09sfg38.jpg;29 mins;1740;10:30pm 25 Aug 2021;An Edinburgh Special featuring drag queens, sex education, flamenco and football.;The return of the Edinburgh Festivals sees Loop meet drag queen Alice Rabbit and The Daniel Martinez Flamenco Company, as well as the creators of Fringe shows 1902 and Sex Education Xplorers.;Edinburgh drag queen Alice Rabbit takes Loop on a whistle-stop tour of Edinburgh, from CC Blooms to the street performers of the Royal Mile, and ending on stage for her debut headline show at the Fringe Festival’s much-anticipated return.The Daniel Martinez Flamenco Company demonstrates the process of layering guitar, voice, rhythm and dance to create their uplifting piece Alegría En Escosia (Happiness in Scotland), before treating us to a performance.Loop also hears from the creators behind Sex Education Xplorers, a piece of comedy theatre providing a new perspective on sex education, and Nathan Scott-Dunn, writer and director of 1902, explains his passion for making theatre accessible to football fans.
Arts;Culture in Quarantine - Aisle;BBC, iPlayer, TV, Culture in Quarantine, Aisle;Animation and vocal soundscape explore the everyday ableism faced by disabled people.;https://ichef.bbci.co.uk/images/ic/1200x675/p09s0rwn.jpg;5 mins;314;2 Sep 2021;Animation and vocal soundscape explore the everyday ableism faced by disabled people.;Animation, poetry, and vocal soundscape come together in an exploration of the everyday ableism faced by disabled people.;Animation, poetry, and vocal soundscape come together in an exploration of the everyday ableism faced by disabled people.A character with albinism leads us through three different supermarket experiences. In the first scenario, she visits a pre-pandemic supermarket where she meditates on the inaccessibility of public space, and the complex systems that disabled people have to create for themselves in order to live in an able-bodied world. In the second scenario, we see how lockdown has disrupted these systems and further complicated her relationship with her surrounding environment. The film ends in a ‘dream supermarket’ - an entire reworking of what we have come to accept as the norm, a hopeful vision for an inclusive future.
Arts;The Narrow Sea, The Farther Shore with Phil Cunningham - Series 1: Episode 1;BBC, iPlayer, TV, The Narrow Sea, The Farther Shore with Phil Cunningham, Series 1: Episode 1;Composer Phil Cunningham creates a new musical composition inspired by the Narrow Sea.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bh2gy0.jpg;59 mins;3541;10:40pm 23 Jan 2022;Composer Phil Cunningham creates a new musical composition inspired by the Narrow Sea.;Acclaimed Scottish musician Phil Cunningham returns to Northern Ireland on a coastal odyssey to create a new composition inspired by the age-old ties between Ulster and Scotland.;Acclaimed Scottish musician and broadcaster Phil Cunningham returns to Northern Ireland on a coastal odyssey that will culminate in the creation of a new musical composition.Inspired by age-old ties between Ulster and Scotland, and titled The Narrow Sea, the Farther Shore, this new piece will be inspired by the sea road that both divides and connects us. The Narrow Sea is the name traditionally given to the body of water that flows in the North Channel between the east coast of Ulster and Scotland’s western shore.Phil has long been fascinated by how centuries of human connection and interaction have impacted on life in both Scotland and Ulster and, across a series of journeys, he finds a wealth of inspiration in a land and seascape steeped in story. Visiting ancient castles clinging to Antrim’s rocky coastline, he learns about the powerful families who once controlled a maritime empire. He follows in the footsteps of the lowlanders whose descendants became the Ulster-Scots, learning more about a language and heritage which still celebrate their Scottish roots.From coastal rowers and fishermen, to historians, poets and musicians, the people he meets along the way share their stories, helping Phil get a real sense of the complex human connections that have helped shape life of both sides of the North Channel since ancient times. As well as being a gifted multi-instrumentalist and composer, Phil is also a self-confessed audio geek and a passionate lover of the natural world, and field recordings captured while filming will both inspire and feature in his final composition.
Arts;The Joy of Painting - Series 5: 12. Aurora’s Dance;BBC, iPlayer, TV, The Joy of Painting, Series 5: 12. Aurora’s Dance;Join Bob Ross and experience the amazing beauty of the Northern Lights.;https://ichef.bbci.co.uk/images/ic/1200x675/p09zfrkb.jpg;25 mins;1522;21 Oct 2021;Join Bob Ross and experience the amazing beauty of the Northern Lights.;Join Bob Ross and experience the amazing beauty of the Northern Lights phenomenon as they dance across the dark, dark sky - this time in an oval!;No data found
Arts;The Joy of Painting - Series 5: 2. Island in the Wilderness;BBC, iPlayer, TV, The Joy of Painting, Series 5: 2. Island in the Wilderness;Take a walk with Bob Ross down a little lakeside path in a secluded place. ;https://ichef.bbci.co.uk/images/ic/1200x675/p09wzc7p.jpg;25 mins;1503;7:30pm 5 Oct 2021;Take a walk with Bob Ross down a little lakeside path in a secluded place.;Take a walk with Bob Ross down a little lakeside path in a secluded place. You will be delighted by the discovery of a small uninhabited island.;No data found
Arts;Arena - The Everly Brothers: Songs of Innocence and Experience;BBC, iPlayer, TV, Arena, The Everly Brothers: Songs of Innocence and Experience;Film about the Everly Brothers, among the most revered of the early rock n roll giants.;https://ichef.bbci.co.uk/images/ic/1200x675/p01r5szs.jpg;95 mins;5718;9:25pm 2 Nov 1984;Film about the Everly Brothers, among the most revered of the early rock 'n' roll giants.;1984 film about the Everly Brothers, among the most successful and revered of the early rock 'n' roll giants, who influenced the Beatles, Simon and Garfunkel and the Beach Boys.;The Everly Brothers were among the most successful and revered of all the giants of early rock 'n' roll. A determining influence on the Beatles, Simon and Garfunkel and the Beach Boys, they brought the ethereal harmonies of the Appalachian Mountains to the wild mix of rock 'n' roll.First broadcast in 1984 as part of their reunion after ten bitter years apart, Arena traces their fabulous career, their split and triumphant reunion. Most of all, Don and Phil wanted to revisit their roots in the coal mining area of Kentucky where their father Ike, a miner, had been a local guitar star. He too had played with his coal mining brothers, in the 30s. In the moody atmosphere of Muhlenberg County, they have an emotional reunion with three generations of Everlys.With contributions from master musician and producer Chet Atkins, songwriters Felice and Boudleaux Bryant and the legendary guitar singer and ex-coal miner, Ike's close friend Mose Rager.
Arts;Loop - TV - Series 4: Episode 2;BBC, iPlayer, TV, Loop, TV - Series 4: Episode 2;Comedian Lubna Kerr looks back fondly on growing up in Glasgow’s Pollokshields.;https://ichef.bbci.co.uk/images/ic/1200x675/p0btcnqn.jpg;28 mins;1680;11:30pm 3 Mar 2022;Comedian Lubna Kerr looks back fondly on growing up in Glasgow’s Pollokshields.;Comedian and actress Lubna Kerr looks back fondly on growing up in Glasgow’s Pollokshields, and David McHarg shares how he is rebuilding lives by building guitars.;Having moved from Pakistan to Pollokshields with her parents in the 1960s, comedian and actor Lubna Kerr reflects on a life spent straddling Scottish and Pakistani culture and comedy, and the boxes she has had to tick along the way.In the Scottish Borders, Michelle de Bruin shuts out the noisy stoneyard around her as she takes us through the quiet, contemplative art of stonecarving.After one case changed everything for former social care worker David McHarg, he decided to quit the profession and teach socially isolated people in his community how to build guitars from scratch, and in turn find his own happiness.Sculptor Josie Ko’s vibrant personality is evident in her colourful, whimsical sculptures, though behind the over-the-top wigs lies a more serious message rooted in racist stereotypes that Josie wants to turn on their head through her art.
